module_id,node_id,node_order,coverage_mode,coverage_weight,note
module.01-truth-tools-and-ai,foundation.verify-and-cite,1,introduce,primary,Week 1 core coverage
module.01-truth-tools-and-ai,foundation.ai-grounded-research,2,introduce,primary,Week 1 core coverage
module.02-measure-map-and-inventory,foundation.measurement-and-units,1,introduce,secondary,Week 2 core coverage
module.02-measure-map-and-inventory,foundation.systems-mapping,2,introduce,secondary,Week 2 core coverage
module.02-measure-map-and-inventory,foundation.household-resilience-inventory,3,introduce,primary,Week 2 core coverage
module.03-water-storage-and-treatment,water.safe-storage,1,introduce,primary,Week 3 core coverage
module.03-water-storage-and-treatment,water.treatment-selection,2,introduce,primary,Week 3 core coverage
module.04-water-testing-and-planning,water.basic-testing,1,introduce,secondary,Week 4 core coverage
module.04-water-testing-and-planning,water.household-water-plan,2,introduce,primary,Week 4 core coverage
module.05-pantry-rotation-and-preservation,food.pantry-design,1,introduce,primary,Week 5 core coverage
module.05-pantry-rotation-and-preservation,food.pantry-rotation,2,introduce,secondary,Week 5 core coverage
module.05-pantry-rotation-and-preservation,food.safe-preservation-basics,3,introduce,secondary,Week 5 core coverage
module.06-seed-starting-and-garden-planning,food.seed-starting,1,introduce,secondary,Week 6 core coverage
module.06-seed-starting-and-garden-planning,food.beginner-garden-system,2,introduce,primary,Week 6 core coverage
module.07-envelope-and-weatherization,shelter.building-envelope,1,introduce,secondary,Week 7 core coverage
module.07-envelope-and-weatherization,shelter.weatherization-audit,2,introduce,primary,Week 7 core coverage
module.08-moisture-tools-shutoffs-and-patching,shelter.moisture-and-mold-control,1,introduce,secondary,Week 8 core coverage
module.08-moisture-tools-shutoffs-and-patching,repair.hand-tool-literacy,2,introduce,secondary,Week 8 core coverage
module.08-moisture-tools-shutoffs-and-patching,repair.shutoffs-seals-and-patches,3,introduce,primary,Week 8 core coverage
module.09-circuit-basics-and-label-reading,power.circuit-basics,1,introduce,primary,Week 9 core coverage
module.10-load-audit-and-runtime,power.load-audit,1,introduce,primary,Week 10 core coverage
module.10-load-audit-and-runtime,power.runtime-calculation,2,introduce,primary,Week 10 core coverage
module.11-backup-power-and-local-resource-map,power.backup-power-plan,1,introduce,primary,Week 11 core coverage
module.11-backup-power-and-local-resource-map,community.local-resource-map,2,introduce,primary,Week 11 core coverage
module.12-capstone-teach-forward,community.teach-forward-session,1,introduce,primary,Week 12 core coverage
