node_id,context,context_order
foundation.verify-and-cite,general,1
foundation.verify-and-cite,renter,2
foundation.verify-and-cite,homeowner,3
foundation.verify-and-cite,urban,4
foundation.verify-and-cite,rural,5
foundation.verify-and-cite,low_budget,6
foundation.verify-and-cite,off_grid,7
foundation.measurement-and-units,general,1
foundation.measurement-and-units,renter,2
foundation.measurement-and-units,homeowner,3
foundation.measurement-and-units,urban,4
foundation.measurement-and-units,rural,5
foundation.measurement-and-units,low_budget,6
foundation.measurement-and-units,off_grid,7
foundation.systems-mapping,general,1
foundation.systems-mapping,renter,2
foundation.systems-mapping,homeowner,3
foundation.systems-mapping,urban,4
foundation.systems-mapping,rural,5
foundation.systems-mapping,low_budget,6
foundation.systems-mapping,off_grid,7
foundation.ai-grounded-research,general,1
foundation.ai-grounded-research,renter,2
foundation.ai-grounded-research,homeowner,3
foundation.ai-grounded-research,urban,4
foundation.ai-grounded-research,rural,5
foundation.ai-grounded-research,low_budget,6
foundation.ai-grounded-research,off_grid,7
foundation.household-resilience-inventory,general,1
foundation.household-resilience-inventory,renter,2
foundation.household-resilience-inventory,homeowner,3
foundation.household-resilience-inventory,urban,4
foundation.household-resilience-inventory,rural,5
foundation.household-resilience-inventory,low_budget,6
foundation.household-resilience-inventory,off_grid,7
water.safe-storage,renter,1
water.safe-storage,homeowner,2
water.safe-storage,urban,3
water.safe-storage,rural,4
water.safe-storage,low_budget,5
water.safe-storage,off_grid,6
water.treatment-selection,renter,1
water.treatment-selection,homeowner,2
water.treatment-selection,urban,3
water.treatment-selection,rural,4
water.treatment-selection,low_budget,5
water.treatment-selection,off_grid,6
water.basic-testing,renter,1
water.basic-testing,homeowner,2
water.basic-testing,urban,3
water.basic-testing,rural,4
water.basic-testing,low_budget,5
water.basic-testing,off_grid,6
water.household-water-plan,renter,1
water.household-water-plan,homeowner,2
water.household-water-plan,urban,3
water.household-water-plan,rural,4
water.household-water-plan,low_budget,5
water.household-water-plan,off_grid,6
food.pantry-design,renter,1
food.pantry-design,homeowner,2
food.pantry-design,urban,3
food.pantry-design,rural,4
food.pantry-design,low_budget,5
food.pantry-design,apartment,6
food.pantry-rotation,renter,1
food.pantry-rotation,homeowner,2
food.pantry-rotation,urban,3
food.pantry-rotation,rural,4
food.pantry-rotation,low_budget,5
food.pantry-rotation,apartment,6
food.safe-preservation-basics,renter,1
food.safe-preservation-basics,homeowner,2
food.safe-preservation-basics,urban,3
food.safe-preservation-basics,rural,4
food.safe-preservation-basics,low_budget,5
food.seed-starting,renter,1
food.seed-starting,homeowner,2
food.seed-starting,urban,3
food.seed-starting,rural,4
food.seed-starting,low_budget,5
food.seed-starting,apartment,6
food.beginner-garden-system,renter,1
food.beginner-garden-system,homeowner,2
food.beginner-garden-system,urban,3
food.beginner-garden-system,rural,4
food.beginner-garden-system,low_budget,5
food.beginner-garden-system,apartment,6
shelter.building-envelope,renter,1
shelter.building-envelope,homeowner,2
shelter.building-envelope,urban,3
shelter.building-envelope,rural,4
shelter.building-envelope,low_budget,5
shelter.building-envelope,cold_climate,6
shelter.building-envelope,hot_climate,7
shelter.weatherization-audit,renter,1
shelter.weatherization-audit,homeowner,2
shelter.weatherization-audit,urban,3
shelter.weatherization-audit,rural,4
shelter.weatherization-audit,low_budget,5
shelter.weatherization-audit,cold_climate,6
shelter.weatherization-audit,hot_climate,7
shelter.moisture-and-mold-control,renter,1
shelter.moisture-and-mold-control,homeowner,2
shelter.moisture-and-mold-control,urban,3
shelter.moisture-and-mold-control,rural,4
shelter.moisture-and-mold-control,low_budget,5
shelter.moisture-and-mold-control,cold_climate,6
shelter.moisture-and-mold-control,hot_climate,7
repair.hand-tool-literacy,renter,1
repair.hand-tool-literacy,homeowner,2
repair.hand-tool-literacy,urban,3
repair.hand-tool-literacy,rural,4
repair.hand-tool-literacy,low_budget,5
repair.shutoffs-seals-and-patches,renter,1
repair.shutoffs-seals-and-patches,homeowner,2
repair.shutoffs-seals-and-patches,urban,3
repair.shutoffs-seals-and-patches,rural,4
repair.shutoffs-seals-and-patches,low_budget,5
power.circuit-basics,renter,1
power.circuit-basics,homeowner,2
power.circuit-basics,urban,3
power.circuit-basics,rural,4
power.circuit-basics,low_budget,5
power.circuit-basics,off_grid,6
power.load-audit,renter,1
power.load-audit,homeowner,2
power.load-audit,urban,3
power.load-audit,rural,4
power.load-audit,low_budget,5
power.load-audit,off_grid,6
power.runtime-calculation,renter,1
power.runtime-calculation,homeowner,2
power.runtime-calculation,urban,3
power.runtime-calculation,rural,4
power.runtime-calculation,low_budget,5
power.runtime-calculation,off_grid,6
power.backup-power-plan,renter,1
power.backup-power-plan,homeowner,2
power.backup-power-plan,urban,3
power.backup-power-plan,rural,4
power.backup-power-plan,low_budget,5
power.backup-power-plan,off_grid,6
community.local-resource-map,urban,1
community.local-resource-map,rural,2
community.local-resource-map,low_budget,3
community.local-resource-map,off_grid,4
community.teach-forward-session,general,1
community.teach-forward-session,urban,2
community.teach-forward-session,rural,3
community.teach-forward-session,low_budget,4
community.teach-forward-session,off_grid,5
